REM Dassault Mirage 2000-5F ALA #45/102-EF
REM Copyright (C) 2014 S.C. All Rights Reserved.

IDENTIFY "MIRAGE_2000-5F_OCPver"
SUBSTNAM "MIRAGE2000"               # If the client does not have this airplane, it will appear as MIRAGE2000.
CATEGORY FIGHTER                    # CATEGORY states what heading it will appear under

AFTBURNR TRUE                       # HAVE AFTERBURNER?
THRMILIT 14500lb                    # THRUST AT MILITARY POWER                      14500 [lb] * 0.453592 [kgf/lb] * 9.80665 [N/kgf] / 1000 = 64.50 [kN]
THRAFTBN 21400lb                    # THRUST WITH AFTERBURNER                       21400 [lb] * 0.453592 [kgf/lb] * 9.80665 [N/kgf] / 1000 = 95.19 [kN]
FUELMILI 1.63kg                     # FUEL CONSUMPTION AT MILITARY POWER            0.907 [kg/daN.h] * (64.50 [kN] * 1000/10) [daN] / 3600 = 1.63 [kg/s]
FUELABRN 5.61kg                     # FUEL CONSUMPTION WHEN USING AFTERBURNER       2.120 [kg/daN.h] * (95.19 [kN] * 1000/10) [daN] / 3600 = 5.61 [kg/s]
WEIGHCLN 7.5t                       # WEIGHT CLEAN
WEIGFUEL 3.18t                      # WEIGHT OF FUEL                                3978 [L] * 0.8 [kg/L] / 1000 = 3.18 [t]
WEIGLOAD 0.0t                       # WEIGHT OF PAYLOAD

COCKPITP  0.00m  1.08m  3.08m       # COCKPIT POSITION
INSTPANL User/oranleed/mirage2000/Mirage2000-5F.ist      # The file name and location of a custom instrument panel
ISPNLPOS 0.0m 0.914m 3.728m                         # Position of the custom instument panel 
ISPNLSCL 1.00                                       # Scaling factor for the panel
ISPNLATT 0deg -10.00deg 0deg                        # Angle of the instrument panel
ISPNLHUD TRUE                                       # HUD as well as analog instrument panel
EXCAMERA "INSTRUMENT"  0.00m  1.08m  3.08m 0deg 0deg 0deg INSIDE    # EXTRA CAMERA POSITION
LEFTGEAR -1.75m -1.58m -1.76m       # LEFT LANDING GEAR POSITION
RIGHGEAR  1.75m -1.58m -1.76m       # RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.53m  3.11m       # WHEEL POSITION
ARRESTER  0.00m -1.60m -5.02m       # ARRESTING HOOK POSITION
MACHNGUN  0.32m -0.24m  1.56m       # MACHINE GUN POSITION 1
MACHNGN2 -0.32m -0.24m  1.56m       # MACHINE GUN POSITION 2
SMOKEGEN  0.00m  0.08m -6.98m       # SMOKE GENERATOR POSITION
VAPORPO0  4.52m -0.26m -4.15m       # VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.52m -0.26m -4.15m       # VAPOR POSITION (Wings Spread)

HTRADIUS 9.0m                       # OUTSIDE SPHERE RADIUS
STRENGTH 8                          # STRENGTH

WINGAREA 41m^2                      # WING AREA

HASSPOIL TRUE                       # HAS SPOILER?
RETRGEAR TRUE                       # HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                       # HAS VARIABLE GEOMETRY WING?

VGWSPED1 715kt                      # VARIABLE GEOMETRY WING SPEED (Wings Spread)
VGWSPED2 860kt                      # VARIABLE GEOMETRY WING SPEED (Wings Swept Back)

CLVARGEO 2.88                       # EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 1.64                       # EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.3                        # EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                        # EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                        # EFFECT OF GEAR FOR Cd
CDSPOILR 0.5                        # EFFECT OF SPOILER FOR Cd

MXIPTAOA 24.0deg                    # MAX INPUT AOA
MXIPTSSA 8.0deg                     # MAX INPUT SSA
MXIPTROL 230.0deg                   # MAX INPUT ROLL

CRITAOAP  22deg                     # CRITICAL AOA POSITIVE
CRITAOAM -13deg                     # CRITICAL AOA NEGATIVE
CRITSPED 0.9MACH                    # CRITICAL SPEED
MAXSPEED 2.2MACH                    # MAXIMUM SPEED

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 85kt                       # MINIMUM MANEUVABLE SPEED
MANESPD2 280kt                      # FULLY MANEUVABLE SPEED
CPITMANE 16.0                       # PITCH MANEUVERBILITY CONSTANT
CPITSTAB 6.5                        # PITCH STABILITY CONSTANT
CYAWMANE 7.0                        # YAW MANEUVABILITY CONSTANT
CYAWSTAB 7.0                        # YAW STABILITY CONSTANT
CROLLMAN 6.0                        # ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                       # CONTROL LANDINGGEAR
CTLBRAKE FALSE                      # CONTROL BRAKE
CTLSPOIL 0.0                        # CONTROL SPOILER
CTLABRNR FALSE                      # CONTROL AFTERBURNER
CTLTHROT 0.0                        # CONTROL THRUST
CTLIFLAP 0.0                        # CONTROL FLAP
CTLINVGW 1.0                        # CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                       # CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m                  # POSITION
ATTITUDE 45deg 0deg 0deg            # ATTITUDE
INITFUEL 75%                        # INITIAL FUEL
INITLOAD 0.0t                       # INITIAL PAYLOAD
INITSPED 0.0MACH                    # INITIAL SPEED

HRDPOINT  0.83m -0.51m  1.05m AIM120
HRDPOINT -0.83m -0.51m  1.05m AIM120
HRDPOINT  0.86m -0.51m -3.20m AIM120
HRDPOINT -0.86m -0.51m -3.20m AIM120
HRDPOINT  3.36m -0.63m -2.70m AIM9X
HRDPOINT -3.36m -0.63m -2.70m AIM9X
HRDPOINT  0.00m  0.00m  0.00m FUEL&2720
HRDPOINT  0.00m -0.34m -4.89m FLR*48

WPNSHAPE AIM9X STATIC User/oranleed/mirage2000/equipment/whitewolf/mica-ir_st.srf
WPNSHAPE AIM9X FLYING User/oranleed/mirage2000/equipment/whitewolf/mica-ir_fl.srf
WPNSHAPE AIM120 STATIC User/oranleed/mirage2000/equipment/whitewolf/mica-er_st.srf
WPNSHAPE AIM120 FLYING User/oranleed/mirage2000/equipment/whitewolf/mica-er_fl.srf
WPNSHAPE FUEL STATIC User/oranleed/mirage2000/equipment/S.C/RPL-501_502.dnm
WPNSHAPE FUEL FLYING User/oranleed/mirage2000/equipment/S.C/RPL-501_502.dnm
WPNSHAPE FLR STATIC User/oranleed/mirage2000/equipment/S.C/ECLAIR-M.srf
WPNSHAPE FLR FLYING User/oranleed/mirage2000/equipment/whitewolf/flr.dnm

MAXNMFLR 16                                             # MAXIMUM INTERNAL FLARES
FLAREPOS  0.52m -0.16m -5.18m   5.0m -10.0m -20.0m      # FLARE DISPENSER POSITION AND VELOCITY
FLAREPOS -0.52m -0.16m -5.18m  -5.0m -10.0m -20.0m      # FLARE DISPENSER POSITION AND VELOCITY

LMTBYHDP TRUE                   # Limit Max Num Weapon by Hardpoint

GUNPOWER 1                      # GUN POWER
GUNINTVL 0.033                  # GUN INTERVAL
INITIGUN 1250                    # INITIAL GUN
LOADWEPN AIM120 4               # INITIAL AIM120 (150kg/each)
LOADWEPN AIM9X 2                # INITIAL AIM9X (90kg/each)
