IDENTIFY "Mosquito_NF_MK.II"
CATEGORY WW2FIGHTER
SUBSTNAM "LANCASTER"
AFTBURNR FALSE                		#HAVE AFTERBURNER?
PROPELLR 2960HP               		#PROPELLER ENGINE
WEIGHCLN 6218kg                		#WEIGHT CLEAN
WEIGFUEL 1623kg                		#WEIGHT OF FUEL
WEIGLOAD 708kg                		#WEIGHT OF PAYLOAD
FUELMILI 0.222kg               		#FUEL CONSUMPTION AT MILITARY POWER
PROPEFCY 0.75			#Propeller efficiency
PROPVMIN 150kt			#Minimum speed that T=P/V becomes valid

#Enpty weight : 6058kg , MAX takeoff weight : 8549kg
#Fuel consumption rate : 0.075kg/1000HP*min

COCKPITP -0.07m 0.44m 2.31m  	#COCKPIT POSITION
COCKPITA 0deg 0deg 0deg    		#COCKPIT NEUTRAL VIEW DIRECTION
SCRNCNTR 0.00 0.00		#Position of viewpoint
EXCAMERA "CoPilot(RADAR)" 0.294m 0.46m 1.93m 0deg -21.5deg 0deg INSIDE
LEFTGEAR -2.580m -2.480m  1.787m  	#LEFT LANDING GEAR POSITION
RIGHGEAR  2.580m -2.480m  1.787m  	#RIGHT LANDING GEAR POSITION
WHELGEAR  0m -0.734m -6.342m  	#WHEEL POSITION
ARRESTER  0m 0.12m -7.90m  		#ARRESTING FOOK
SMOKEGEN  -2.47m -0.29m 3.60m  	#SMOKE GENERATOR POSITION
VAPORPO0  8.25m  0.20m  1.34m  	#VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  8.25m  0.20m  1.34m  	#VAPOR POSITION (Wings Spread)
HTRADIUS  9.2m                 		#OUTSIDE SPHERE RADIUS

STRENGTH 10

INSTPANL User/oranleed/mosquitoNFmk2/mosquitoNFmk2.ist
ISPNLPOS 0.0m 0.0m  2.769m       	#INSIDE PANEL POTITION
ISPNLATT 0deg 0deg 0deg     		#INSIDE PANEL ATTITUDE
ISPNLSCL 1.00                 		#INSIDE PANEL SCALE

CRITAOAP  18deg               		#CRITICAL AOA POSITIVE
CRITAOAM -15deg               		#CRITICAL AOA NEGATIVE

CRITSPED 270kt              		#CRITICAL SPEED
