IDENTIFY "N1K2-J_SHIDEN-KAI"
SUBSTNAM shiden21
CATEGORY WW2FIGHTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 1990HP               #PROPELLER ENGINE
WEIGHCLN  2.657t                #WEIGHT CLEAN
WEIGFUEL  0.519t                #WEIGHT OF FUEL
WEIGLOAD  0.5t                #WEIGHT OF PAYLOAD
FUELMILI  0.15kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m   0.91m  -1.11m  #COCKPIT POSITION
INSTPANL user/fasta/sakadati/n1k/n1k2j.ist
LEFTGEAR -2.04m -2.03m  0.77m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.04m -2.03m  0.77m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m  -0.59m -5.87m  #WHEEL POSITION
MACHNGUN  2.10m  -0.30m  1.17m  #MACHINE GUN POSITION
MACHNGN2 -2.10m  -0.30m  1.17m  #MACHINE2 GUN POSITION
MACHNGN3 -2.40m  -0.25m  1.18m
MACHNGN4  2.40m  -0.25m  1.18m
GUNINTVL 0.08
SMOKEGEN  0.0m   0.00m -5.50m  #SMOKE GENERATOR POSITION
VAPORPO0  9999999.63m 9999999.01m  9999999.09m  #VAPOR POSITION
VAPORPO1  9999999.63m 9999999.01m  9999999.09m  #VAPOR POSITION
HTRADIUS  6.5m                 #OUTSIDE SPHERE RADIUS
GUNSIGHT FALSE
ARRESTER  0.0m -0.63m -1.24m

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 650km/h              #CRITICAL SPEED
MAXSPEED 597km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?

VGWSPED1 150kt
VGWSPED2 250kt

CLVARGEO 0.05                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.1                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.05                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.1                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.6                 #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 23.5m^2                #WING AREA

MXIPTAOA 18.5deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 70.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 30kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 60kt                 #FULLY MANEUVABLE SPEED
CPITMANE 7.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH GUN

HRDPOINT 0m 0m 0m FUEL&400
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
MAXNBOMB 0

NMTURRET 9

######## TURRET FOR GUNSIGHT ########
TURRETPO 0 0m  0.91m  -1.11m 0deg 0deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 0 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 0 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 0						#Ammo
TURRETIV 0 1						#Number ShootingInterval
