Category,Field,YSCCE_Sends,qRadar_Reads,Status
Aircraft,packet_type,Yes,Yes,OK
Aircraft,client_id,Yes,Yes,OK
Aircraft,callsign,Yes,Yes,OK
Aircraft,aircraft_type,Yes,Yes,OK
Aircraft,lat,Yes,Yes,OK
Aircraft,lon,Yes,Yes,OK
Aircraft,alt,Yes,Yes,OK
Aircraft,heading,Yes,Yes,OK
Aircraft,pitch,Yes,No,Missing
Aircraft,roll,Yes,No,Missing
Aircraft,speed,Yes,Yes,OK
Aircraft,vel_x,Optional,No,Missing
Aircraft,vel_y,Optional,No,Missing
Aircraft,vel_z,Optional,No,Missing
Aircraft,iff,Yes,No,Missing
Aircraft,damage,Yes,No,Missing
Aircraft,flags,Yes,No,Missing
Aircraft,timestamp,Yes,No,Missing
Missile,packet_type,Yes,Yes,OK
Missile,missile_id,Yes,Yes,OK
Missile,launcher_id,Yes,No,Missing
Missile,lat,Yes,Yes,OK
Missile,lon,Yes,Yes,OK
Missile,alt,Yes,Yes,OK
Missile,vel,Yes,Yes,OK
Missile,vel_x,Optional,No,Missing
Missile,vel_y,Optional,No,Missing
Missile,vel_z,Optional,No,Missing
Missile,heading,Yes,Yes,OK
Missile,target_id,Yes,Yes,OK
Missile,status,Yes,No,Missing
Missile,launch_time,Yes,No,Missing
Missile,timestamp,Yes,No,Missing
Combat,packet_type,Yes,No,Missing
Combat,source_id,Yes,No,Missing
Combat,target_id,Yes,No,Missing
Combat,lock_state,Yes,No,Missing
Combat,weapon_id,Yes,No,Missing
Combat,launch_event,Yes,No,Missing
Combat,hit_event,Yes,No,Missing
Combat,bearing,Yes,No,Missing
Combat,timestamp,Yes,No,Missing
Server,packet_type,Yes,No,Missing
Server,server_time,Yes,No,Missing
Server,tick_rate,Yes,No,Missing
Server,map_bounds,Yes,No,Missing
Server,protocol_version,Yes,No,Missing
Environment,wind_speed,Yes,No,Missing
Environment,wind_dir,Yes,No,Missing
Environment,turbulence,Yes,No,Missing
Environment,visibility,Yes,No,Missing
Environment,weather_state,Yes,No,Missing
